phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,wavefront,0,256,64,64,16777216,3,6,48,50,3,19.5859375,10.585261068976255,False,851086900.0,202919400.0,202859500.0,202945400.0,4.194211593371556,2959.44862,852.8679999999999,2695.14,3.4699960838019486,3.1600904243095065,283451719.4625261,983576356.4818941,14.939972840000891,48.0,1.0,12.993589743589743,98.0,5.756410256410256,0.05384615384615385,0.1321025641025641,723.9551282051282,41.0,239.94551282051276
2,sweep,b200,wavefront,0,256,64,64,16777216,6,21,168,50,3,46.9873046875,25.394387531601144,False,851086900.0,72398670.0,72372660.0,72403840.0,11.755559874235258,9855.54225,852.639,9045.58,11.558868700587237,10.608921243339795,85115641.40471317,983840523.363346,15.57983174102711,168.0,1.0,18.642857142857142,100.0,8.366883116883116,0.08030519480519485,0.18499999999999994,674.2694805194806,43.0,273.3459740259738
2,sweep,b200,diagonal_compact,0,256,64,64,16777216,3,6,48,50,3,19.583984375,10.584205498466783,False,851086900.0,202219500.0,202051000.0,202341100.0,4.208728139472207,2925.1706599999998,852.457,2660.77,3.4314583140263966,3.1212952676791907,286773285.22090405,984050573.8119342,15.132957151501259,48.0,1.0,13.16025641025641,100.0,5.826923076923077,0.04167948717948719,0.12768589743589742,716.7884615384615,40.0,233.85307692307688
2,sweep,b200,diagonal_compact,0,256,64,64,16777216,6,21,168,50,3,46.9853515625,25.393331961091672,False,851086900.0,73266650.0,73198290.0,73311180.0,11.616293361304223,9666.675580000001,852.729,8856.6,11.336163751907113,10.38618365271968,86778623.43240032,983736685.3947736,15.912270442381953,168.0,1.0,18.587662337662337,100.0,7.545454545454546,0.058061688311688335,0.18403246753246746,670.2467532467532,42.0,258.8971753246751
2,sweep,b200,tiled,0,256,128,8,16777216,3,6,48,50,3,16.5654296875,8.952821276079188,False,1299393000.0,174532800.0,174412700.0,174637800.0,7.444978823464702,4009.16953,519.393,3747.46,7.718951795653773,7.215076059939198,209235552.0820293,1615079140.4581888,10.74469598074429,48.0,1.0,14.0,100.0,7.156976744186046,0.028186046511627913,0.12223837209302325,542.6744186046511,37.0,229.3577325581394
2,sweep,b200,tiled,0,256,128,8,16777216,6,21,168,50,3,38.541015625,20.82957286339334,False,1299393000.0,58933240.0,58878000.0,58971910.0,22.048558674187944,13140.987809999999,519.087,12333.8,25.315578718018365,23.760564221411823,63835444.65064077,1616031224.053001,11.426212067651495,168.0,1.0,19.738888888888887,100.0,10.144444444444444,0.0504010989010989,0.18307142857142855,611.2083333333334,43.0,264.4159722222225
2,sweep,b200,tiled,8,256,128,8,16777216,3,6,48,50,3,16.5576171875,8.948598994041305,False,1299393000.0,148263400.0,148237800.0,148346700.0,8.764084730284075,4862.96224,519.3530000000001,4601.07,9.36350081736314,8.859234470581665,172499961.66945356,1615203532.0870388,8.751294459766967,48.0,1.0,14.770833333333334,100.0,1.4583333333333333,0.04107291666666668,0.14339583333333336,588.3020833333334,35.0,205.39124999999999
2,sweep,b200,tiled,8,256,128,8,16777216,6,21,168,50,3,38.5302734375,20.82376722559125,False,1299393000.0,47523610.0,47483310.0,47549480.0,27.342051666529542,16582.76366,518.825,15775.5,31.96215228641642,30.406206331614705,50586308.60327897,1616847299.1856596,8.933384957687553,168.0,1.0,20.66588785046729,100.0,1.5467289719626167,0.057165887850467334,0.20398130841121487,625.9836448598131,35.0,217.44231308411224
2,sweep,b200,tiled,16,256,128,8,16777216,3,6,48,50,3,16.55859375,8.94912677929604,False,1299393000.0,267758000.0,267344200.0,267877300.0,4.852863406508862,2342.88122,519.603,2081.08,4.508983242975888,4.005134689368615,358046661.87900037,1614426398.6158667,19.34827993157399,48.0,1.0,11.257352941176471,99.0,1.9264705882352942,0.03486764705882353,0.10938235294117649,614.3823529411765,38.0,211.02602941176474
2,sweep,b200,tiled,16,256,128,8,16777216,6,21,168,50,3,38.5322265625,20.824822796100722,False,1299393000.0,95402570.0,95398750.0,95406300.0,13.620104783340743,7709.018749999999,519.002,6901.85,14.853543435285413,13.298310989167673,108815509.10743342,1616295890.9599578,20.418962220274274,168.0,1.0,17.456349206349206,100.0,2.4404761904761907,0.05270703124999998,0.1683203125,706.6468253968254,38.0,233.12174603174577
