device,arch,kind,method,regs,shared_bytes,stack_bytes,spills,occ_bs128,occ_bs256,occ_bs512,kernel
gh200,sm90,other,,255,1024,736,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,255,1024,1152,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,1024,1152,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,1024,592,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,1024,592,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,1024,768,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,255,1024,512,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,255,0,336,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,0,672,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,0,664,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,0,1752,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,0,3344,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,0,2192,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,255,0,1616,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,254,1024,1136,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,253,1024,1136,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,250,1040,320,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,246,0,1600,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,246,0,1312,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,244,1040,320,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,242,0,2048,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,240,1040,592,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,233,1024,512,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,233,1024,512,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,230,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,226,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,226,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,224,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,224,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,222,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,222,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,222,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,220,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,220,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,218,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,218,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,218,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,218,1024,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,216,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,216,1024,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,214,1024,512,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,214,1024,512,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
gh200,sm90,other,,206,1024,592,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,200,1024,592,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,196,0,0,no,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,196,0,0,no,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
gh200,sm90,other,,190,0,0,no,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
