phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,diagonal_compact,0,224,56,64,11239424,3,6,48,50,3,13.802734375,14.441458654759836,False,608829800.0,101857600.0,101767700.0,102034800.0,5.977264337663562,4172.97451,751.943,3950.59,5.549588878412327,5.253842379010112,134669214.6461254,747358775.8646599,6.827997235855911,48.0,1.0,85.40625,100.0,42.0625,0.2958787878787879,0.8136363636363639,1980.0,51.0,428.20843749999995
2,sweep,gh200,diagonal_compact,0,224,56,64,11239424,6,21,168,50,3,33.3017578125,34.842803281871035,False,608829800.0,41859520.0,41842910.0,41917610.0,14.544595829096941,11010.33811,751.655,10342.1,14.648127279137372,13.759104908501907,51040321.77627649,747645129.7470249,9.128819253343131,168.0,1.0,91.02702702702703,100.0,38.5945945945946,0.33682666666666644,0.8906000000000001,1980.0,52.0,477.1133783783783
2,sweep,gh200,tiled,0,224,112,8,11239424,3,6,48,50,3,11.46875,11.999468688375515,False,978361100.0,105530200.0,105454600.0,105604500.0,9.270911075692077,4511.85162,446.042,4297.08,10.115306675156152,9.633801301222755,124554450.66254194,1259906466.2072182,6.277429696445028,48.0,1.0,83.3125,100.0,36.78125,0.18096969696969697,0.7594242424242424,1980.0,48.0,406.3753125
2,sweep,gh200,tiled,0,224,112,8,11239424,6,21,168,50,3,26.72265625,27.959252485414474,False,978361100.0,26284100.0,26207570.0,26298820.0,37.22254518891649,20078.40554,444.8605,19424.3,45.13416124830143,43.663800225014356,27988836.009933487,1263252637.6246037,4.86046661140942,168.0,1.0,95.05357142857143,100.0,50.9375,0.3049380530973451,0.9115840707964603,1980.0,52.0,462.95285714285717
2,sweep,gh200,tiled,8,224,112,8,11239424,3,6,48,50,3,11.4619140625,11.992316416507444,False,978361100.0,96554500.0,96554200.0,96582270.0,10.132734362458509,5006.98289,445.4987,4792.38,11.239051629106887,10.757337787966609,112237491.58847234,1261442962.6842906,5.6286474778711195,48.0,1.0,85.23529411764706,100.0,11.676470588235293,0.28847058823529403,0.8441176470588236,1980.0,46.0,316.0194117647058
2,sweep,gh200,tiled,8,224,112,8,11239424,6,21,168,50,3,26.71875,27.955165472918434,False,978361100.0,31657910.0,31653970.0,31657990.0,30.904159497578963,16415.45716,444.8456,15761.2,36.90147134196675,35.43072023191867,34234270.451472454,1263294949.9781497,5.990099840113697,168.0,1.0,93.94680851063829,100.0,10.48936170212766,0.3203473684210523,0.9289263157894733,1980.0,44.0,322.26297872340433
2,sweep,gh200,tiled,14,224,112,8,11239424,3,6,48,50,3,11.4658203125,11.996403429003484,False,978361100.0,163335300.0,163261800.0,163517600.0,5.989893795156344,2632.61258,444.7111,2418.21,5.919826557061427,5.437710009936788,213465211.04901809,1263677025.3766997,11.154787053233589,48.0,1.0,76.9090909090909,100.0,17.227272727272727,0.26891304347826084,0.7386086956521739,1980.0,46.0,393.0618181818182
2,sweep,gh200,tiled,14,224,112,8,11239424,6,21,168,50,3,26.71875,27.955165472918434,False,978361100.0,57890060.0,57877620.0,57903050.0,16.900329693906002,8331.15004,444.86260000000004,7677.03,18.727467851871566,17.25708117517633,67454216.68099017,1263246674.3664222,12.297875819164444,168.0,1.0,90.20370370370371,100.0,16.88888888888889,0.33040740740740765,0.8848518518518517,1980.0,46.0,409.2451851851852
2,sweep,gh200,tiled,16,224,112,8,11239424,3,6,48,50,3,11.4677734375,11.998446935251504,False,978361100.0,170294300.0,170235500.0,170661200.0,5.745119478455826,2487.86259,447.4239,2273.23,5.560415056057578,5.08070757954593,225885144.24343666,1256015156.9909432,11.866206939025089,48.0,1.0,78.61904761904762,100.0,19.857142857142858,0.26127272727272727,0.7125909090909089,1980.0,49.0,402.492380952381
2,sweep,gh200,tiled,16,224,112,8,11239424,6,21,168,50,3,26.724609375,27.961295991662496,False,978361100.0,61798310.0,61777400.0,61897660.0,15.831518693634179,7722.6528499999995,445.0932,7068.3,17.35064218010969,15.880494242554143,72769190.96525231,1262592194.1741638,13.3569828105768,168.0,1.0,88.80392156862744,100.0,18.54901960784314,0.3260192307692308,0.8636153846153849,1980.0,53.0,450.18078431372544
2,sweep,gh200,tiled,28,224,112,8,11239424,3,6,48,50,3,11.470703125,12.001512194623535,False,978361100.0,150560400.0,150499300.0,150698800.0,6.498130318463554,2929.7432000000003,446.26619999999997,2714.86,6.56501254184162,6.08349904160342,191815856.07912663,1259273500.8835535,9.935914780135992,48.0,1.0,76.79166666666667,100.0,32.5,0.25144000000000005,0.7087199999999999,1980.0,53.0,442.6116666666666
2,sweep,gh200,tiled,28,224,112,8,11239424,6,21,168,50,3,26.7265625,27.963339497910514,False,978361100.0,58249320.0,58227820.0,58285990.0,16.796094787029272,8310.575289999999,445.4495,7655.9,18.65660482276891,17.18690895376468,67621215.18545319,1261582289.3504202,12.331817500228583,168.0,1.0,89.22222222222223,100.0,32.5,0.3235185185185185,0.8675925925925922,1980.0,54.0,495.72425925925927
2,sweep,gh200,wavefront,0,224,112,8,11239424,3,6,48,50,3,11.4755859375,12.006620960243586,False,978361100.0,122575100.0,122488800.0,122696200.0,7.981727936587447,3795.54429,444.9296,3581.14,8.530662581226332,8.04877895289502,148060767.32673302,1263056447.5818198,7.532410796561988,48.0,1.0,80.28571428571429,98.0,33.17857142857143,0.3520689655172414,0.7429655172413793,1980.0,52.0,477.74821428571425
2,sweep,gh200,wavefront,0,224,112,8,11239424,6,21,168,50,3,26.7314453125,27.968448263530565,False,978361100.0,42953440.0,42951110.0,42957510.0,22.777246711788393,11757.441149999999,444.7325,11102.8,26.437108036853612,24.96511948193577,47797066.796290115,1263616218.7382302,8.50336506106568,168.0,1.0,91.18571428571428,100.0,35.285714285714285,0.4463714285714282,0.904342857142857,1980.0,55.0,548.773142857143
2,sweep,gh200,diagonal_compact,0,224,112,8,11239424,3,6,48,50,3,11.474609375,12.005599207119575,False,978361100.0,87658970.0,87604380.0,87780040.0,11.160992423251152,5597.6819,446.5494,5382.9,12.535414670806857,12.054433395274968,100393557.55460131,1258474874.224442,5.011168255029817,48.0,1.0,86.54054054054055,100.0,50.027027027027025,0.18929729729729727,0.8147297297297296,1980.0,49.0,425.68405405405406
2,sweep,gh200,diagonal_compact,0,224,112,8,11239424,6,21,168,50,3,26.7314453125,27.968448263530565,False,978361100.0,25079180.0,25067940.0,25087940.0,39.01088871326734,21049.02855,445.79879999999997,20393.6,47.21643160546866,45.7461976120169,26698201.233614653,1260593792.536005,4.629450494272713,168.0,1.0,95.8974358974359,100.0,53.8034188034188,0.3071949152542373,0.9251949152542371,1980.0,50.0,457.3002564102565
